iter	Passed	Remaining
0	0	244
1	0	219
2	1	209
3	1	196
4	1	187
5	1	168
6	2	153
7	2	170
8	2	159
9	3	158
10	3	163
11	3	160
12	4	165
13	4	162
14	4	157
15	5	166
16	5	173
17	6	178
18	6	171
19	6	166
20	6	163
21	6	159
22	7	155
23	7	161
24	7	161
25	8	159
26	8	165
27	9	164
28	9	165
29	10	168
30	10	167
31	10	164
32	10	163
33	22	325
34	22	325
35	23	320
36	23	316
37	24	311
38	24	305
39	24	301
40	24	297
41	25	296
42	25	294
43	26	293
44	26	289
45	27	284
46	27	280
47	27	280
48	28	275
49	28	275
50	29	274
51	29	274
52	30	271
53	30	267
54	31	268
55	31	264
56	31	260
57	31	259
58	32	259
59	32	256
60	33	256
61	33	254
62	33	252
63	34	251
64	34	249
65	35	249
66	35	247
67	36	245
68	36	242
69	36	241
70	36	238
71	37	235
72	37	234
73	37	232
74	37	231
75	38	228
76	38	228
77	39	227
78	39	225
79	39	223
80	39	222
81	40	220
82	40	220
83	40	217
84	41	215
85	41	213
86	41	211
87	41	210
88	42	209
89	42	207
90	42	206
91	42	204
92	43	203
93	43	201
94	43	201
95	44	201
96	44	200
97	45	199
98	45	199
99	46	199
100	46	197
101	46	196
102	47	195
103	47	195
104	47	194
105	48	193
106	48	191
107	48	189
108	48	189
109	49	188
110	49	187
111	50	187
112	50	187
113	50	186
114	51	185
115	51	183
116	51	182
117	51	181
118	52	180
119	52	180
120	53	180
121	53	179
122	53	178
123	54	177
124	54	175
125	54	175
126	54	173
127	55	173
128	55	173
129	55	171
130	56	171
131	56	169
132	56	168
133	56	168
134	57	168
135	57	167
136	58	166
137	58	166
138	58	165
139	59	164
140	59	164
141	59	163
142	60	163
143	60	162
144	60	161
145	61	160
146	61	160
147	61	159
148	62	159
149	62	158
150	62	157
151	63	157
152	63	157
153	63	156
154	64	155
155	64	155
156	64	154
157	64	153
158	65	152
159	65	151
160	65	151
161	66	150
162	66	149
163	66	148
164	66	147
165	66	146
166	66	145
167	67	145
168	67	145
169	68	144
170	68	144
171	69	144
172	69	143
173	69	143
174	70	142
175	70	141
176	70	141
177	71	140
178	71	140
179	71	140
180	72	139
181	72	138
182	72	138
183	73	138
184	73	137
185	73	137
186	74	136
187	74	136
188	75	136
189	75	135
190	75	134
191	75	134
192	76	133
193	76	133
194	77	133
195	77	132
196	77	131
197	78	131
198	78	130
199	78	129
200	78	129
201	79	128
202	79	128
203	79	127
204	80	127
205	80	126
206	80	126
207	80	125
208	81	125
209	81	124
210	81	124
211	82	123
212	82	122
213	82	122
214	82	121
215	82	120
216	83	120
217	83	119
218	84	119
219	84	119
220	84	118
221	84	117
222	84	117
223	85	116
224	85	116
225	86	116
226	86	115
227	86	115
228	87	115
229	88	115
230	88	114
231	88	114
232	89	113
233	89	113
234	89	112
235	89	112
236	90	111
237	90	111
238	90	110
239	91	110
240	91	109
241	91	109
242	91	108
243	92	108
244	92	107
245	92	107
246	92	106
247	93	106
248	93	105
249	93	105
250	94	104
251	94	104
252	94	104
253	95	103
254	95	103
255	95	102
256	95	102
257	96	101
258	96	101
259	96	100
260	97	100
261	97	100
262	97	99
263	98	99
264	98	98
265	98	98
266	98	97
267	99	97
268	99	96
269	99	96
270	100	96
271	100	95
272	101	95
273	101	95
274	102	95
275	102	94
276	102	94
277	103	93
278	103	93
279	103	92
280	103	92
281	104	92
282	104	91
283	104	91
284	105	90
285	105	90
286	105	89
287	105	89
288	106	88
289	106	88
290	106	88
291	107	87
292	107	87
293	107	86
294	107	86
295	108	85
296	108	85
297	108	84
298	108	84
299	109	84
300	109	83
301	109	83
302	109	82
303	110	82
304	110	81
305	110	81
306	111	81
307	111	80
308	111	80
309	112	79
310	112	79
311	112	79
312	112	78
313	113	78
314	113	77
315	113	77
316	114	77
317	114	76
318	114	76
319	115	75
320	115	75
321	115	74
322	115	74
323	116	74
324	116	73
325	116	73
326	116	72
327	117	72
328	117	72
329	117	71
330	118	71
331	118	71
332	118	70
333	119	70
334	119	69
335	119	69
336	119	69
337	120	68
338	120	68
339	121	68
340	121	67
341	121	67
342	122	66
343	122	66
344	122	66
345	123	65
346	123	65
347	123	65
348	124	64
349	124	64
350	124	63
351	125	63
352	125	63
353	125	62
354	125	62
355	126	62
356	126	61
357	126	61
358	127	61
359	127	60
360	127	60
361	127	59
362	128	59
363	128	59
364	129	58
365	129	58
366	130	58
367	130	57
368	130	57
369	130	56
370	131	56
371	131	56
372	131	55
373	131	55
374	132	54
375	132	54
376	132	54
377	132	53
378	133	53
379	133	53
380	134	52
381	134	52
382	134	52
383	135	51
384	135	51
385	136	51
386	136	50
387	136	50
388	136	49
389	137	49
390	137	49
391	137	48
392	138	48
393	138	48
394	139	47
395	139	47
396	139	47
397	140	46
398	140	46
399	140	46
400	141	45
401	141	45
402	141	45
403	142	44
404	142	44
405	142	43
406	142	43
407	143	43
408	144	43
